30
168
0 1 2
1 0 2
1 2 16
2 1 16
2 3 9
3 2 9
3 4 16
4 3 16
5 6 9
6 5 9
6 7 18
7 6 18
7 8 10
8 7 10
8 9 12
9 8 12
0 6 17
6 0 17
5 1 2
1 5 2
6 1 18
1 6 18
1 7 5
7 1 5
6 2 9
2 6 9
7 2 18
2 7 18
2 8 1
8 2 1
7 3 11
3 7 11
8 3 1
3 8 1
3 9 17
9 3 17
8 4 18
4 8 18
9 4 17
4 9 17
10 11 8
11 10 8
11 12 18
12 11 18
12 13 14
13 12 14
13 14 0
14 13 0
5 11 17
11 5 17
10 6 19
6 10 19
11 6 0
6 11 0
6 12 1
12 6 1
11 7 17
7 11 17
12 7 13
7 12 13
7 13 3
13 7 3
12 8 6
8 12 6
13 8 15
8 13 15
8 14 7
14 8 7
13 9 2
9 13 2
14 9 17
9 14 17
15 16 6
16 15 6
16 17 5
17 16 5
17 18 9
18 17 9
18 19 2
19 18 2
10 16 0
16 10 0
15 11 4
11 15 4
16 11 18
11 16 18
11 17 5
17 11 5
16 12 16
12 16 16
17 12 19
12 17 19
12 18 19
18 12 19
17 13 5
13 17 5
18 13 6
13 18 6
13 19 8
19 13 8
18 14 8
14 18 8
19 14 11
14 19 11
20 21 0
21 20 0
21 22 10
22 21 10
22 23 5
23 22 5
23 24 10
24 23 10
15 21 9
21 15 9
20 16 19
16 20 19
21 16 9
16 21 9
16 22 11
22 16 11
21 17 10
17 21 10
22 17 3
17 22 3
17 23 2
23 17 2
22 18 13
18 22 13
23 18 12
18 23 12
18 24 0
24 18 0
23 19 13
19 23 13
24 19 8
19 24 8
25 26 9
26 25 9
26 27 3
27 26 3
27 28 11
28 27 11
28 29 0
29 28 0
20 26 5
26 20 5
25 21 12
21 25 12
26 21 9
21 26 9
21 27 14
27 21 14
26 22 16
22 26 16
27 22 5
22 27 5
22 28 13
28 22 13
27 23 7
23 27 7
28 23 10
23 28 10
23 29 3
29 23 3
28 24 5
24 28 5
29 24 8
24 29 8
