30
168
0 1 2
1 0 2
1 2 2
2 1 2
2 3 2
3 2 2
3 4 8
4 3 8
5 6 6
6 5 6
6 7 2
7 6 2
7 8 1
8 7 1
8 9 3
9 8 3
0 6 7
6 0 7
5 1 8
1 5 8
6 1 3
1 6 3
1 7 7
7 1 7
6 2 0
2 6 0
7 2 0
2 7 0
2 8 8
8 2 8
7 3 5
3 7 5
8 3 3
3 8 3
3 9 5
9 3 5
8 4 8
4 8 8
9 4 7
4 9 7
10 11 8
11 10 8
11 12 5
12 11 5
12 13 0
13 12 0
13 14 5
14 13 5
5 11 5
11 5 5
10 6 3
6 10 3
11 6 1
6 11 1
6 12 1
12 6 1
11 7 0
7 11 0
12 7 0
7 12 0
7 13 0
13 7 0
12 8 2
8 12 2
13 8 8
8 13 8
8 14 0
14 8 0
13 9 9
9 13 9
14 9 1
9 14 1
15 16 1
16 15 1
16 17 6
17 16 6
17 18 7
18 17 7
18 19 5
19 18 5
10 16 2
16 10 2
15 11 3
11 15 3
16 11 0
11 16 0
11 17 1
17 11 1
16 12 6
12 16 6
17 12 3
12 17 3
12 18 0
18 12 0
17 13 0
13 17 0
18 13 2
13 18 2
13 19 1
19 13 1
18 14 5
14 18 5
19 14 4
14 19 4
20 21 0
21 20 0
21 22 0
22 21 0
22 23 8
23 22 8
23 24 3
24 23 3
15 21 8
21 15 8
20 16 4
16 20 4
21 16 2
16 21 2
16 22 7
22 16 7
21 17 7
17 21 7
22 17 7
17 22 7
17 23 0
23 17 0
22 18 8
18 22 8
23 18 4
18 23 4
18 24 3
24 18 3
23 19 0
19 23 0
24 19 5
19 24 5
25 26 8
26 25 8
26 27 0
27 26 0
27 28 5
28 27 5
28 29 4
29 28 4
20 26 1
26 20 1
25 21 2
21 25 2
26 21 9
21 26 9
21 27 1
27 21 1
26 22 3
22 26 3
27 22 6
22 27 6
22 28 7
28 22 7
27 23 5
23 27 5
28 23 0
23 28 0
23 29 6
29 23 6
28 24 3
24 28 3
29 24 6
24 29 6
